
StnID: kdsm    Profile Thermal Adjust:  0.0       Cloud RH threshold:  85%    Average Hourly Sounding: NO

 Date/hour    FHr  Wind    SfcT   Ptype   SR |Snow||Sleet|| FZRA|| QPF    CumSR|TotSN||TotPL||TotZR|| TQPF   S%| I%| L%
============================================================================================================================
111202/2100Z   3  17011KT  37.0F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111203/0000Z   6  16010KT  30.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111203/0300Z   9  17010KT  31.3F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111203/0600Z  12  19009KT  34.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
111203/0900Z  15  20007KT  36.5F  RAIN    0:1| 0.0|| 0.00|| 0.00|| 0.016    0:1|  0.0|| 0.00|| 0.00|| 0.02    0|  0|100
111203/1200Z  18  21007KT  37.2F  RAIN    0:1| 0.0|| 0.00|| 0.00|| 0.094    0:1|  0.0|| 0.00|| 0.00|| 0.11    0|  0|100
111203/1500Z  21  20006KT  38.3F  RAIN    0:1| 0.0|| 0.00|| 0.00|| 0.094    0:1|  0.0|| 0.00|| 0.00|| 0.20    0|  0|100
111203/1800Z  24  18007KT  40.3F  RAIN    0:1| 0.0|| 0.00|| 0.00|| 0.122    0:1|  0.0|| 0.00|| 0.00|| 0.33    0|  0|100
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
111203/2100Z  27  18006KT  40.1F  RAIN    0:1| 0.0|| 0.00|| 0.00|| 0.157    0:1|  0.0|| 0.00|| 0.00|| 0.48    0|  0|100
111204/0000Z  30  09005KT  38.8F  RAIN    0:1| 0.0|| 0.00|| 0.00|| 0.260    0:1|  0.0|| 0.00|| 0.00|| 0.74    0|  0|100
111204/0300Z  33  36008KT  37.4F  RAIN    0:1| 0.0|| 0.00|| 0.00|| 0.134    0:1|  0.0|| 0.00|| 0.00|| 0.88    0|  0|100
111204/0600Z  36  34013KT  32.5F  RAIN    0:1| 0.0|| 0.00|| 0.00|| 0.028    0:1|  0.0|| 0.00|| 0.00|| 0.91    0|  0|100
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
111204/0900Z  39  32014KT  30.4F  SNOW   10:1| 0.1|| 0.00|| 0.00|| 0.012   10:1|  0.1|| 0.00|| 0.00|| 0.92  100|  0|  0
111204/1200Z  42  30011KT  26.1F          0:1| 0.0|| 0.00|| 0.00|| 0.000   10:1|  0.1|| 0.00|| 0.00|| 0.92    0|  0|  0
111204/1500Z  45  29011KT  26.4F          0:1| 0.0|| 0.00|| 0.00|| 0.000   10:1|  0.1|| 0.00|| 0.00|| 0.92    0|  0|  0
111204/1800Z  48  27010KT  31.3F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
111204/2100Z  51  26009KT  32.4F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111205/0000Z  54  23007KT  27.3F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111205/0300Z  57  28010KT  26.8F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111205/0600Z  60  30010KT  24.8F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
111205/0900Z  63  29011KT  22.5F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111205/1200Z  66  33013KT  22.8F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111205/1500Z  69  34012KT  22.8F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111205/1800Z  72  34012KT  24.3F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
111205/2100Z  75  34014KT  23.2F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111206/0000Z  78  35011KT  20.8F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111206/0300Z  81  35010KT  18.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111206/0600Z  84  34010KT  16.2F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
111206/0900Z  87  33008KT  13.3F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111206/1200Z  90  32007KT  10.8F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111206/1500Z  93  32005KT  10.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111206/1800Z  96  29005KT  16.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
111206/2100Z  99  27005KT  19.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111207/0000Z 102  24005KT  16.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111207/0300Z 105  23006KT  16.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111207/0600Z 108  22008KT  17.8F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
111207/0900Z 111  23008KT  18.7F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111207/1200Z 114  24009KT  19.0F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111207/1500Z 117  27009KT  21.2F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111207/1800Z 120  32008KT  27.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
111207/2100Z 123  35009KT  32.2F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111208/0000Z 126  35006KT  25.5F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111208/0300Z 129  01005KT  24.4F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111208/0600Z 132  03005KT  24.1F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
111208/0900Z 135  07005KT  24.6F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111208/1200Z 138  07006KT  25.2F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111208/1500Z 141  07006KT  26.1F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111208/1800Z 144  03007KT  28.8F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
111208/2100Z 147  35010KT  27.5F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111209/0000Z 150  34009KT  23.4F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111209/0300Z 153  33011KT  23.5F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111209/0600Z 156  32012KT  19.8F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
111209/0900Z 159  32012KT  16.2F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111209/1200Z 162  31011KT  12.6F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111209/1500Z 165  30012KT  12.0F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111209/1800Z 168  30012KT  14.7F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
111209/2100Z 171  30013KT  15.3F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111210/0000Z 174  30011KT  13.3F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111210/0300Z 177  30009KT  12.0F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
111210/0600Z 180  30009KT  10.6F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
============================================================================================================================

